codigo_comuna;median_y1;pct_iae_2;pct_iai_2;pct_oficio1_9.0;count_hacinamiento_1;count_hacinamiento_2;count_hacinamiento_3;count_hacinamiento_4;count_hacinamiento_9;pct_trabajo_informal;pct_o25c_1.0;densidad;poblacion;comuna;region;casos_totales
1101;370000.0;13.587.605.608.882.200;33.541.049.232.538.500;1.859.267.734.553.770;153644.0;15856.0;5212.0;5343.0;801.0;2.661.804.680.766.420;4.411.367.465.433.930;85.4;191468;Iquique;Tarapacá;812.0
1107;330000.0;12.270.518.464.846.300;3.318.080.506.572.360;21.954.296.929.763.000;104432.0;15637.0;5109.0;1617.0;176.0;3.197.286.379.204.350;533.125.028.302.314;189.2;108375;Alto Hospicio;Tarapacá;504.0
1401;300000.0;46.932.035.459.760.100;261.602.642.099.774;21.421.091.997.008.200;10795.0;5376.0;563.0;477.0;48.0;2.777.951.769.495.770;17.492.041.032.897.000;1.14;15711;Pozo Almonte;Tarapacá;20.0
1402;350000.0;0.0;2.259.615.384.615.380;13.445.378.151.260.500;665.0;111.0;0.0;45.0;11.0;6.733.333.333.333.330;6.547.619.047.619.040;0.57;1250;Camina;Tarapacá;0.0
1404;350000.0;1.261.467.889.908.250;2.319.380.733.944.950;1.740.013.540.961.400;2530.0;629.0;119.0;210.0;0.0;6.629.055.007.052.180;0.0;0.26;2730;Huara;Tarapacá;18.0
1405;300000.0;8.803.570.336.858.830;17.056.917.527.663.900;2.253.449.803.772.620;14942.0;615.0;0.0;650.0;150.0;4.932.371.505.861.130;18.143.289.606.458.100;01.04;9296;Pica;Tarapacá;37.0
2101;400000.0;15.315.882.659.618.900;2.852.519.266.803.280;14.967.120.553.837.300;349492.0;27094.0;5246.0;2345.0;3277.0;19.308.308.673.503.800;46.774.515.540.563.700;11.8;361873;Antofagasta;Antofagasta;1140.0
2102;400000.0;8.508.109.026.067.750;2.509.127.961.280.460;2.348.599.545.798.630;9684.0;1761.0;0.0;48.0;284.0;1.319.622.964.867.180;13.222.821.896.684.600;3.54;13467;Mejillones;Antofagasta;226.0
2103;400000.0;7.608.178.792.201.610;6.894.912.030.432.710;29.688.972.667.295.000;1846.0;193.0;64.0;0.0;0.0;48.144.433.299.899.600;57.655.954.631.379.900;0.79;10186;Sierra Gorda;Antofagasta;11.0
2104;500000.0;0.0;3.874.160.882.921.830;11.905.483.186.913.000;7629.0;849.0;32.0;128.0;151.0;2.685.830.429.732.860;3.554.256.010.396.360;0.65;13317;Taltal;Antofagasta;23.0
2201;550000.0;12.535.367.964.178.700;1.272.628.629.508.550;1.850.988.437.150.310;132633.0;6363.0;2655.0;1646.0;2315.0;13.232.032.854.209.400;37.246.170.288.564.200;10.6;165731;Calama;Antofagasta;254.0
2203;400000.0;6.637.214.683.917.110;3.786.683.496.371.090;11.023.466.771.839.800;9372.0;135.0;0.0;0.0;0.0;20.417.257.443.791.700;53.952.321.204.516.900;0.47;10996;San Pedro de Atacama;Antofagasta;5.0
2301;350000.0;11.880.714.437.593.000;1.891.345.949.394.000;1.759.049.018.298.380;17285.0;1130.0;0.0;100.0;297.0;4.184.106.141.430.720;3.459.836.623.553.430;6.24;25186;Tocopilla;Antofagasta;25.0
2302;500000.0;0.0;2.775.055.679.287.300;2.374.616.171.954.960;1629.0;466.0;150.0;0.0;0.0;33.950.617.283.950.600;1.562.829.989.440.330;0.53;6457;Maria Elena;Antofagasta;132.0
3101;420000.0;8.670.693.497.121.260;27.194.679.154.365.600;18.043.719.376.079.200;159655.0;13243.0;1843.0;1745.0;328.0;19.091.344.140.695.100;3.662.573.580.606.360;9.23;153937;Copiapo;Atacama;96.0
3102;350000.0;4.820.890.525.610.980;16.712.420.488.784.700;1.968.359.700.249.790;12905.0;1982.0;48.0;0.0;0.0;4.024.740.050.197.200;19.256.614.867.702.600;3.79;17662;Caldera;Atacama;5.0
3103;350000.0;9.554.392.641.928.320;2.984.459.245.163.330;29.880.335.774.245.400;11345.0;1083.0;184.0;0.0;0.0;28.998.649.430.831.500;18.779.677.113.010.400;1.25;14019;Tierra Amarilla;Atacama;23.0
3201;420000.0;2.131.249.444.987.120;24.482.727.999.289.500;1.569.222.981.523.660;10488.0;395.0;378.0;0.0;0.0;21.817.162.086.371.200;2.712.378.640.776.690;2.12;12219;Chanaral;Atacama;0.0
3202;500000.0;1.281.894.762.544.250;11.048.712.000.976.600;11.555.555.555.555.500;7194.0;743.0;100.0;85.0;69.0;24.686.998.394.863.500;12.724.434.035.909.400;0.75;13925;Diego de Almagro;Atacama;5.0
3301;370000.0;22.476.936.627.880.000;313.244.633.999.351;25.037.648.502.426.200;37740.0;3107.0;1552.0;620.0;123.0;26.893.782.842.297.900;4.029.793.735.676.080;7.33;51917;Vallenar;Atacama;46.0
3302;270000.0;14.610.024.724.657.200;21.847.606.203.641.200;389.354.066.985.646;4325.0;0.0;0.0;0.0;124.0;4.505.874.222.529.370;10.674.157.303.370.700;0.89;5299;Alto del Carmen;Atacama;0.0
3303;340000.0;58.782.487.353.915.900;4.615.384.615.384.610;2.761.767.531.219.980;4869.0;375.0;279.0;210.0;0.0;3.652.501.344.809.030;34.089.586.969.168.100;2.19;7041;Freirina;Atacama;1.0
3304;400000.0;2.764.376.059.460.160;4.824.618.594.340.850;16.170.525.542.080.100;7310.0;359.0;0.0;0.0;0.0;2.644.490.644.490.640;3.504.835.589.941.970;6.34;10149;Huasco;Atacama;1.0
